INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2023-07-31T07:00:00-00:00,2023-07-31T08:00:00-00:00,0,2023-07-31,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28693,ACTUAL,12
2023-07-31T08:00:00-00:00,2023-07-31T09:00:00-00:00,0,2023-07-31,2,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27509,ACTUAL,12
2023-07-31T09:00:00-00:00,2023-07-31T10:00:00-00:00,0,2023-07-31,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26771,ACTUAL,12
2023-07-31T10:00:00-00:00,2023-07-31T11:00:00-00:00,0,2023-07-31,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26206,ACTUAL,12
2023-07-31T11:00:00-00:00,2023-07-31T12:00:00-00:00,0,2023-07-31,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25997,ACTUAL,12
2023-07-31T12:00:00-00:00,2023-07-31T13:00:00-00:00,0,2023-07-31,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26474,ACTUAL,12
2023-07-31T13:00:00-00:00,2023-07-31T14:00:00-00:00,0,2023-07-31,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27696,ACTUAL,12
2023-07-31T14:00:00-00:00,2023-07-31T15:00:00-00:00,0,2023-07-31,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,29016,ACTUAL,12
2023-07-31T15:00:00-00:00,2023-07-31T16:00:00-00:00,0,2023-07-31,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,29961,ACTUAL,12
2023-07-31T16:00:00-00:00,2023-07-31T17:00:00-00:00,0,2023-07-31,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,30884,ACTUAL,12
2023-07-31T17:00:00-00:00,2023-07-31T18:00:00-00:00,0,2023-07-31,11,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,31796,ACTUAL,12
2023-07-31T18:00:00-00:00,2023-07-31T19:00:00-00:00,0,2023-07-31,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,32896,ACTUAL,12
2023-07-31T19:00:00-00:00,2023-07-31T20:00:00-00:00,0,2023-07-31,13,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,34064,ACTUAL,12
2023-07-31T20:00:00-00:00,2023-07-31T21:00:00-00:00,0,2023-07-31,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,35280,ACTUAL,12
2023-07-31T21:00:00-00:00,2023-07-31T22:00:00-00:00,0,2023-07-31,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,36677,ACTUAL,12
2023-07-31T22:00:00-00:00,2023-07-31T23:00:00-00:00,0,2023-07-31,16,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,37643,ACTUAL,12
2023-07-31T23:00:00-00:00,2023-08-01T00:00:00-00:00,0,2023-07-31,17,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,38379,ACTUAL,12
2023-08-01T00:00:00-00:00,2023-08-01T01:00:00-00:00,0,2023-07-31,18,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,38788,ACTUAL,12
2023-08-01T01:00:00-00:00,2023-08-01T02:00:00-00:00,0,2023-07-31,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,38675,ACTUAL,12
2023-08-01T02:00:00-00:00,2023-08-01T03:00:00-00:00,0,2023-07-31,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,38068,ACTUAL,12
2023-08-01T03:00:00-00:00,2023-08-01T04:00:00-00:00,0,2023-07-31,21,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,37292,ACTUAL,12
2023-08-01T04:00:00-00:00,2023-08-01T05:00:00-00:00,0,2023-07-31,22,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,35613,ACTUAL,12
2023-08-01T05:00:00-00:00,2023-08-01T06:00:00-00:00,0,2023-07-31,23,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,33219,ACTUAL,12
2023-08-01T06:00:00-00:00,2023-08-01T07:00:00-00:00,0,2023-07-31,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,30983,ACTUAL,12